ASX_code, Company_name, Listing_date, GICs_industry_group, Market_CapAHY,ASALEO CARE LIMITED,Not provided,Consumer Durables & Apparel,
AII,ALMONTY INDUSTRIES INC.,Not provided,Mining/Exploration,0
AQN,AQUIRIAN LIMITED,Not provided,Software & Services,0
CMC,CHINA MAGNESIUM CORPORATION LIMITED,Not provided,Mining/Exploration,
OPL,OPYL LIMITED,Not provided,Software & Services,9517442
BHP,BHP GROUP LIMITED,13/08/1885,Materials,1.42E+11
BTN,BUTN LIMITED,6/07/2021,Diversified Financials,0
MMG,MONGER GOLD LTD,6/07/2021,Materials,0
29M,29METALS LIMITED,2/07/2021,Materials,0
BBT,BLUEBET HOLDINGS LTD,2/07/2021,Consumer Services,0
CNQ,CLEAN TEQ WATER LIMITED,2/07/2021,Commercial & Professional Services,0
LDR,LODE RESOURCES LTD,2/07/2021,Materials,0
NXG,NEXGEN ENERGY (CANADA) LTD,2/07/2021,Energy,0
TBN,TAMBORAN RESOURCES LIMITED,2/07/2021,Energy,0
AR3,AUSTRALIAN RARE EARTHS LIMITED,1/07/2021,Materials,60874000
PXA,PEXA GROUP LIMITED,1/07/2021,Commercial & Professional Services,3041137264
POL,POLYMETALS RESOURCES LTD,29/06/2021,Mining/Exploration,12710400
BGD,BARTON GOLD HOLDINGS LIMITED,28/06/2021,Materials,35123344
CHL,CAMPLIFY HOLDINGS LIMITED,28/06/2021,Transportation,50383570
WAR,WAM STRATEGIC VALUE LIMITED,28/06/2021,Investment Trust/Fund,240300001
AM7,ARCADIA MINERALS LIMITED,25/06/2021,Materials,15390018
TOR,TORQUE METALS LIMITED..,25/06/2021,Materials,13820074
EDV,ENDEAVOUR GROUP LIMITED,24/06/2021,Food & Staples Retailing,11408542708
CDR,CODRUS MINERALS LIMITED,23/06/2021,Materials,15375001
FG1,FLYNN GOLD LIMITED,17/06/2021,Materials,14262487
HIQ,HITIQ LIMITED,16/06/2021,Health Care Equipment & Services,25159613
LM8,LUNNON METALS LIMITED,16/06/2021,Materials,64267415
SB2,SALTER BROTHERS EMERGING COMPANIES LIMITED,16/06/2021,Investment Trust/Fund,90616364
AGN,ARGENICA THERAPEUTICS LIMITED,11/06/2021,Pharmaceuticals, Biotechnology & Life Sciences,15000311
FOS,FOS CAPITAL LTD,7/06/2021,Capital Goods,8775000
TRJ,TRAJAN GROUP HOLDINGS LIMITED,7/06/2021,Pharmaceuticals, Biotechnology & Life Sciences,301858222
KED,KEYPATH EDUCATION INTERNATIONAL INC.,2/06/2021,Consumer Services,776672182
MTR,METAL TIGER PLC,27/05/2021,Materials,86856267
BFL,BSP FINANCIAL GROUP LIMITED,25/05/2021,Banks,0
PPM,PEPPER MONEY LIMITED,25/05/2021,Banks,1160295597
DGL,DGL GROUP LIMITED,24/05/2021,Materials,344380000
LEL,LITHIUM ENERGY LIMITED,19/05/2021,Materials,28403550
AUA,AUDEARA LIMITED,18/05/2021,Consumer Durables & Apparel,10290000
ACL,AUSTRALIAN CLINICAL LABS LIMITED,14/05/2021,Health Care Equipment & Services,704400712
JNO,JUNO MINERALS LIMITED,14/05/2021,Materials,25927020
A8G,AUSTRALASIAN GOLD LIMITED,13/05/2021,Materials,6606916
EPX,EP&T GLOBAL LIMITED,12/05/2021,Software & Services,37159900
HMI,HIREMII LIMITED,11/05/2021,Commercial & Professional Services,7969558
NKL,NICKELX LIMITED,7/05/2021,Materials,11319001
GL1,GLOBAL LITHIUM RESOURCES LIMITED,6/05/2021,Materials,32952085
QML,QMINES LIMITED,6/05/2021,Materials,38193598
BCA,BLACK CANYON LIMITED,5/05/2021,Materials,10330797
MLG,MLG OZ LIMITED,4/05/2021,Materials,139842396
ALB,ALBION RESOURCES LIMITED,30/04/2021,Materials,8360000
PWR,PETER WARREN AUTOMOTIVE HOLDINGS LIMITED,27/04/2021,Retailing,602929835
MKL,MIGHTY KINGDOM LIMITED,21/04/2021,Media & Entertainment,28819674
LFS,LATITUDE GROUP HOLDINGS LIMITED,20/04/2021,Diversified Financials,2350000000
92E,92 ENERGY LIMITED,15/04/2021,Energy,21510125
ICL,ICENI GOLD LIMITED,14/04/2021,Materials,38916428
PHL,PROPELL HOLDINGS LIMITED,14/04/2021,Diversified Financials,14368524
